employee_name,hours_worked,meetings_per_day,stress_score,sleep_hours,productivity_drop,overtime_hours,workload_level,job_satisfaction,burnout,burnout_probability,risk_level
Employee 1142,13.0,6.0,7.0,6.0,6.0,4.0,8.0,3.0,1,60.0,Medium
Employee 1143,11.0,5.0,5.0,7.0,5.0,3.0,6.0,5.0,0,46.0,Medium
Employee 1144,9.0,3.0,7.0,7.0,6.0,3.0,4.0,4.0,1,58.0,Medium
Employee 1145,11.0,5.0,6.0,7.0,5.0,3.0,6.0,4.0,1,54.0,Medium
Employee 1146,10.0,3.0,6.0,7.0,5.0,3.0,5.0,4.0,0,46.0,Medium
Employee 1147,7.0,1.0,3.0,8.0,2.0,1.0,1.0,7.0,0,19.0,Low
Employee 1148,9.0,3.0,6.0,7.0,6.0,3.0,4.0,4.0,1,56.0,Medium
Employee 1149,10.0,3.0,6.0,7.0,5.0,3.0,5.0,5.0,0,47.0,Medium
Employee 1150,10.0,5.0,6.0,7.0,4.0,3.0,4.0,5.0,0,40.0,Medium
Employee 1151,12.0,5.0,7.0,7.0,5.0,3.0,7.0,4.0,1,51.0,Medium
Employee 1152,13.0,6.0,8.0,6.0,6.0,4.0,8.0,3.0,1,61.0,Medium
Employee 1153,10.0,3.0,8.0,6.0,6.0,3.0,5.0,3.0,1,56.0,Medium
Employee 1154,7.0,1.0,4.0,8.0,2.0,1.0,1.0,7.0,0,24.0,Low
Employee 1155,10.0,3.0,7.0,6.0,6.0,3.0,5.0,4.0,1,58.0,Medium
Employee 1156,9.0,3.0,5.0,7.0,3.0,2.0,4.0,6.0,0,29.0,Low
Employee 1157,12.0,6.0,9.0,6.0,7.0,4.0,7.0,2.0,1,69.0,High
Employee 1158,9.0,3.0,6.0,7.0,5.0,2.0,4.0,5.0,0,47.0,Medium
Employee 1159,8.0,2.0,4.0,8.0,2.0,2.0,3.0,7.0,0,19.0,Low
Employee 1160,12.0,6.0,7.0,6.0,6.0,4.0,7.0,4.0,1,58.0,Medium
Employee 1161,11.0,5.0,7.0,7.0,5.0,3.0,6.0,4.0,0,46.0,Medium
Employee 1162,9.0,2.0,6.0,7.0,5.0,2.0,4.0,4.0,1,51.0,Medium
Employee 1163,10.0,3.0,6.0,7.0,5.0,3.0,5.0,5.0,0,46.0,Medium
Employee 1164,11.0,6.0,8.0,6.0,6.0,4.0,6.0,3.0,1,62.0,Medium
Employee 1165,8.0,2.0,4.0,8.0,2.0,1.0,2.0,7.0,0,22.0,Low
Employee 1166,10.0,5.0,8.0,6.0,6.0,3.0,5.0,3.0,1,58.0,Medium
Employee 1167,8.0,2.0,6.0,7.0,5.0,2.0,3.0,5.0,0,48.0,Medium
Employee 1168,7.0,2.0,3.0,8.0,3.0,1.0,1.0,7.0,0,27.0,Low
Employee 1169,8.0,2.0,5.0,7.0,5.0,2.0,2.0,5.0,1,50.0,Medium
Employee 1170,10.0,5.0,5.0,8.0,4.0,2.0,5.0,6.0,0,40.0,Medium
Employee 1171,9.0,3.0,5.0,8.0,4.0,2.0,4.0,6.0,0,40.0,Medium
Employee 1172,9.0,3.0,4.0,8.0,3.0,2.0,3.0,7.0,0,29.0,Low
Employee 1173,7.0,1.0,3.0,9.0,1.0,1.0,1.0,8.0,0,14.0,Low
Employee 1174,10.0,3.0,6.0,7.0,6.0,3.0,5.0,4.0,1,56.0,Medium
Employee 1175,8.0,2.0,3.0,8.0,2.0,2.0,3.0,8.0,0,16.0,Low
Employee 1176,12.0,6.0,7.0,6.0,6.0,4.0,7.0,4.0,1,57.0,Medium
Employee 1177,7.0,1.0,3.0,8.0,3.0,1.0,1.0,7.0,0,26.0,Low
Employee 1178,8.0,2.0,4.0,8.0,3.0,2.0,2.0,6.0,0,31.0,Low
Employee 1179,10.0,5.0,5.0,7.0,4.0,3.0,5.0,5.0,0,40.0,Medium
Employee 1180,11.0,5.0,8.0,6.0,6.0,4.0,6.0,3.0,1,64.0,Medium
Employee 1181,14.0,6.0,9.0,6.0,7.0,4.0,9.0,2.0,1,70.0,High
Employee 1182,10.0,5.0,6.0,7.0,3.0,3.0,5.0,5.0,0,34.0,Medium
Employee 1183,12.0,6.0,7.0,7.0,6.0,3.0,7.0,4.0,1,57.0,Medium
Employee 1184,11.0,3.0,7.0,7.0,6.0,3.0,6.0,3.0,1,62.0,Medium
Employee 1185,8.0,2.0,6.0,7.0,3.0,2.0,3.0,6.0,0,34.0,Medium
Employee 1186,8.0,2.0,5.0,7.0,3.0,2.0,2.0,6.0,0,29.0,Low
Employee 1187,11.0,5.0,8.0,6.0,6.0,3.0,6.0,3.0,1,63.0,Medium
Employee 1188,9.0,3.0,5.0,7.0,3.0,2.0,4.0,6.0,0,30.0,Low
Employee 1189,8.0,3.0,5.0,8.0,3.0,2.0,2.0,6.0,0,27.0,Low
Employee 1190,7.0,1.0,2.0,9.0,0.0,1.0,1.0,9.0,0,2.0,Low
Employee 1191,11.0,3.0,6.0,7.0,6.0,3.0,6.0,4.0,1,55.0,Medium
Employee 1192,9.0,3.0,5.0,7.0,4.0,2.0,4.0,5.0,0,45.0,Medium
Employee 1193,14.0,7.0,8.0,6.0,8.0,4.0,9.0,2.0,1,80.0,High
Employee 1194,11.0,3.0,6.0,7.0,5.0,3.0,6.0,5.0,1,52.0,Medium
Employee 1195,9.0,3.0,3.0,8.0,2.0,2.0,3.0,8.0,0,19.0,Low
Employee 1196,10.0,5.0,5.0,7.0,4.0,2.0,4.0,5.0,0,44.0,Medium
Employee 1197,9.0,3.0,4.0,8.0,4.0,2.0,3.0,6.0,0,38.0,Medium
Employee 1198,9.0,3.0,4.0,8.0,3.0,2.0,4.0,6.0,0,31.0,Low
Employee 1199,7.0,1.0,1.0,9.0,0.0,1.0,1.0,9.0,0,2.0,Low
Employee 1200,11.0,3.0,8.0,6.0,7.0,3.0,6.0,2.0,1,71.0,High
Employee 1201,9.0,3.0,6.0,7.0,5.0,2.0,3.0,5.0,0,47.0,Medium
Employee 1202,10.0,5.0,6.0,7.0,4.0,3.0,5.0,5.0,0,35.0,Medium
Employee 1203,13.0,6.0,6.0,7.0,6.0,4.0,8.0,4.0,1,62.0,Medium
Employee 1204,11.0,5.0,7.0,6.0,6.0,3.0,6.0,3.0,1,64.0,Medium
Employee 1205,7.0,1.0,4.0,8.0,3.0,1.0,1.0,6.0,0,28.0,Low
Employee 1206,8.0,2.0,6.0,7.0,5.0,2.0,3.0,5.0,0,47.0,Medium
Employee 1207,10.0,5.0,7.0,7.0,6.0,3.0,5.0,4.0,1,62.0,Medium
Employee 1208,9.0,2.0,7.0,6.0,5.0,3.0,4.0,4.0,0,49.0,Medium
Employee 1209,9.0,3.0,7.0,7.0,5.0,3.0,4.0,4.0,1,52.0,Medium
Employee 1210,12.0,6.0,8.0,6.0,6.0,4.0,7.0,3.0,1,61.0,Medium
Employee 1211,8.0,2.0,4.0,8.0,3.0,2.0,2.0,7.0,0,26.0,Low
Employee 1212,7.0,1.0,1.0,10.0,0.0,0.0,1.0,10.0,0,0.0,Low
Employee 1213,12.0,6.0,6.0,7.0,5.0,3.0,7.0,4.0,1,51.0,Medium
Employee 1214,10.0,5.0,6.0,7.0,5.0,3.0,5.0,5.0,0,47.0,Medium
Employee 1215,9.0,3.0,5.0,7.0,3.0,2.0,3.0,6.0,0,31.0,Low
Employee 1216,11.0,5.0,8.0,6.0,6.0,4.0,6.0,2.0,1,65.0,Medium
Employee 1217,8.0,2.0,4.0,8.0,2.0,2.0,3.0,7.0,0,22.0,Low
Employee 1218,10.0,3.0,7.0,7.0,4.0,3.0,5.0,5.0,0,42.0,Medium
Employee 1219,12.0,5.0,9.0,6.0,7.0,4.0,8.0,2.0,1,72.0,High
Employee 1220,10.0,3.0,7.0,7.0,6.0,3.0,5.0,4.0,1,55.0,Medium
Employee 1221,9.0,2.0,6.0,7.0,4.0,2.0,4.0,5.0,0,41.0,Medium
Employee 1222,9.0,3.0,5.0,7.0,3.0,2.0,4.0,6.0,0,32.0,Low
Employee 1223,10.0,5.0,5.0,8.0,4.0,2.0,4.0,5.0,0,42.0,Medium
Employee 1224,8.0,2.0,6.0,7.0,5.0,2.0,3.0,5.0,1,50.0,Medium
Employee 1225,10.0,3.0,6.0,7.0,6.0,3.0,5.0,4.0,1,59.0,Medium
Employee 1226,12.0,5.0,9.0,6.0,8.0,4.0,7.0,1.0,1,83.0,High
Employee 1227,12.0,6.0,8.0,6.0,8.0,4.0,7.0,2.0,1,75.0,High
Employee 1228,11.0,5.0,7.0,7.0,6.0,3.0,6.0,3.0,1,64.0,Medium
Employee 1229,11.0,3.0,8.0,6.0,7.0,4.0,6.0,3.0,1,66.0,High
Employee 1230,10.0,5.0,6.0,7.0,5.0,3.0,5.0,5.0,0,46.0,Medium
Employee 1231,10.0,3.0,6.0,7.0,4.0,3.0,5.0,5.0,0,45.0,Medium
Employee 1232,11.0,5.0,8.0,6.0,7.0,3.0,6.0,3.0,1,66.0,High
Employee 1233,9.0,3.0,8.0,6.0,6.0,3.0,4.0,3.0,1,59.0,Medium
Employee 1234,9.0,3.0,6.0,7.0,5.0,2.0,3.0,4.0,1,50.0,Medium
Employee 1235,11.0,5.0,7.0,6.0,5.0,3.0,6.0,4.0,1,52.0,Medium
Employee 1236,9.0,3.0,6.0,7.0,4.0,2.0,3.0,5.0,0,45.0,Medium
Employee 1237,10.0,2.0,6.0,7.0,5.0,3.0,5.0,5.0,1,52.0,Medium
Employee 1238,9.0,3.0,5.0,7.0,5.0,2.0,4.0,5.0,0,47.0,Medium
Employee 1239,14.0,6.0,8.0,6.0,9.0,4.0,9.0,1.0,1,91.0,High
Employee 1240,10.0,5.0,6.0,7.0,3.0,3.0,5.0,6.0,0,33.0,Medium
Employee 1241,7.0,1.0,4.0,8.0,2.0,1.0,1.0,7.0,0,21.0,Low
Employee 1242,7.0,2.0,3.0,8.0,3.0,1.0,1.0,7.0,0,27.0,Low
Employee 1243,13.0,6.0,7.0,7.0,6.0,4.0,8.0,4.0,1,62.0,Medium
Employee 1244,10.0,3.0,4.0,8.0,3.0,2.0,5.0,6.0,0,33.0,Medium
Employee 1245,11.0,5.0,6.0,7.0,5.0,3.0,6.0,5.0,0,46.0,Medium
Employee 1246,10.0,5.0,5.0,7.0,4.0,2.0,4.0,5.0,0,44.0,Medium
Employee 1247,11.0,6.0,7.0,6.0,5.0,3.0,6.0,4.0,1,54.0,Medium
Employee 1248,10.0,3.0,4.0,8.0,3.0,2.0,5.0,7.0,0,30.0,Low
Employee 1249,7.0,2.0,1.0,10.0,0.0,0.0,1.0,9.0,0,4.0,Low
Employee 1250,9.0,3.0,6.0,7.0,5.0,2.0,4.0,5.0,0,47.0,Medium
Employee 1251,9.0,3.0,6.0,7.0,5.0,2.0,3.0,5.0,0,46.0,Medium
Employee 1252,7.0,1.0,5.0,7.0,3.0,2.0,2.0,6.0,0,34.0,Medium
Employee 1253,11.0,5.0,7.0,7.0,6.0,3.0,6.0,4.0,1,57.0,Medium
Employee 1254,8.0,2.0,4.0,8.0,2.0,1.0,2.0,7.0,0,23.0,Low
Employee 1255,7.0,1.0,3.0,8.0,2.0,1.0,1.0,7.0,0,19.0,Low
Employee 1256,8.0,2.0,5.0,8.0,4.0,2.0,2.0,6.0,0,41.0,Medium
Employee 1257,10.0,3.0,8.0,6.0,7.0,3.0,5.0,2.0,1,67.0,High
Employee 1258,10.0,3.0,4.0,8.0,3.0,2.0,5.0,7.0,0,31.0,Low
Employee 1259,10.0,5.0,6.0,7.0,5.0,3.0,5.0,4.0,1,54.0,Medium
Employee 1260,9.0,3.0,5.0,7.0,4.0,2.0,3.0,5.0,0,44.0,Medium
Employee 1261,11.0,5.0,8.0,6.0,6.0,3.0,6.0,3.0,1,61.0,Medium
Employee 1262,9.0,3.0,3.0,9.0,2.0,1.0,3.0,8.0,0,19.0,Low
Employee 1263,10.0,5.0,6.0,7.0,5.0,3.0,5.0,5.0,0,49.0,Medium
Employee 1264,12.0,6.0,8.0,6.0,7.0,4.0,7.0,3.0,1,66.0,High
Employee 1265,9.0,3.0,7.0,7.0,4.0,2.0,3.0,4.0,0,45.0,Medium
Employee 1266,12.0,6.0,7.0,6.0,6.0,4.0,7.0,3.0,1,59.0,Medium
Employee 1267,10.0,3.0,7.0,6.0,6.0,3.0,5.0,4.0,1,55.0,Medium
Employee 1268,10.0,3.0,7.0,7.0,4.0,3.0,5.0,4.0,0,44.0,Medium
Employee 1269,11.0,5.0,7.0,6.0,6.0,3.0,6.0,3.0,1,60.0,Medium
Employee 1270,9.0,3.0,5.0,8.0,3.0,2.0,4.0,6.0,0,30.0,Low
Employee 1271,9.0,3.0,6.0,7.0,3.0,2.0,3.0,6.0,0,32.0,Low
Employee 1272,10.0,5.0,6.0,7.0,4.0,3.0,5.0,5.0,0,44.0,Medium
Employee 1273,9.0,3.0,4.0,8.0,3.0,2.0,4.0,7.0,0,30.0,Low
Employee 1274,9.0,2.0,5.0,8.0,3.0,2.0,4.0,6.0,0,30.0,Low
Employee 1275,14.0,7.0,9.0,5.0,9.0,5.0,9.0,1.0,1,90.0,High
Employee 1276,9.0,3.0,7.0,7.0,5.0,3.0,4.0,4.0,0,48.0,Medium
Employee 1277,8.0,2.0,5.0,8.0,3.0,2.0,2.0,6.0,0,27.0,Low
Employee 1278,10.0,5.0,5.0,7.0,4.0,3.0,5.0,6.0,0,36.0,Medium
Employee 1279,8.0,2.0,2.0,9.0,1.0,1.0,2.0,8.0,0,13.0,Low
Employee 1280,8.0,3.0,3.0,8.0,1.0,1.0,2.0,8.0,0,11.0,Low
Employee 1281,7.0,3.0,1.0,10.0,0.0,0.0,1.0,9.0,0,5.0,Low
Employee 1282,12.0,6.0,7.0,6.0,7.0,4.0,7.0,3.0,1,74.0,High
Employee 1283,8.0,2.0,4.0,8.0,3.0,2.0,3.0,6.0,0,32.0,Low
Employee 1284,8.0,2.0,3.0,8.0,2.0,1.0,2.0,7.0,0,22.0,Low
Employee 1285,9.0,2.0,5.0,7.0,4.0,2.0,4.0,6.0,0,35.0,Medium
Employee 1286,10.0,5.0,6.0,7.0,4.0,3.0,4.0,5.0,0,45.0,Medium
Employee 1287,8.0,2.0,5.0,8.0,4.0,2.0,3.0,6.0,0,36.0,Medium
Employee 1288,10.0,5.0,5.0,7.0,4.0,3.0,5.0,6.0,0,38.0,Medium
Employee 1289,9.0,3.0,6.0,7.0,5.0,2.0,3.0,5.0,0,49.0,Medium
Employee 1290,10.0,5.0,7.0,7.0,5.0,3.0,5.0,4.0,0,47.0,Medium
Employee 1291,11.0,3.0,6.0,7.0,5.0,3.0,6.0,4.0,1,54.0,Medium
Employee 1292,9.0,2.0,5.0,8.0,3.0,2.0,4.0,6.0,0,33.0,Medium
Employee 1293,9.0,3.0,8.0,6.0,6.0,3.0,4.0,3.0,1,61.0,Medium
Employee 1294,12.0,6.0,7.0,7.0,6.0,3.0,7.0,4.0,1,59.0,Medium
Employee 1295,8.0,2.0,6.0,7.0,4.0,2.0,3.0,5.0,0,43.0,Medium
Employee 1296,7.0,1.0,3.0,8.0,2.0,1.0,1.0,7.0,0,25.0,Low
Employee 1297,8.0,2.0,4.0,8.0,3.0,2.0,3.0,6.0,0,34.0,Medium
Employee 1298,9.0,3.0,4.0,8.0,3.0,2.0,3.0,7.0,0,27.0,Low
Employee 1299,9.0,3.0,6.0,7.0,5.0,2.0,4.0,5.0,0,47.0,Medium
Employee 1300,11.0,5.0,6.0,7.0,6.0,3.0,6.0,4.0,1,58.0,Medium
Employee 1301,13.0,6.0,8.0,6.0,8.0,4.0,8.0,2.0,1,75.0,High
Employee 1302,10.0,3.0,5.0,7.0,5.0,3.0,5.0,5.0,0,47.0,Medium
Employee 1303,10.0,5.0,7.0,7.0,5.0,3.0,5.0,4.0,0,46.0,Medium
Employee 1304,13.0,6.0,8.0,6.0,7.0,4.0,8.0,3.0,1,66.0,High
Employee 1305,10.0,3.0,8.0,6.0,6.0,3.0,5.0,3.0,1,64.0,Medium
Employee 1306,8.0,3.0,2.0,9.0,1.0,1.0,2.0,8.0,0,7.0,Low
Employee 1307,9.0,3.0,6.0,7.0,5.0,2.0,3.0,5.0,0,47.0,Medium
Employee 1308,7.0,2.0,4.0,8.0,2.0,1.0,1.0,7.0,0,18.0,Low
Employee 1309,7.0,2.0,3.0,8.0,1.0,1.0,1.0,8.0,0,14.0,Low
Employee 1310,10.0,5.0,7.0,7.0,5.0,3.0,5.0,4.0,0,49.0,Medium
Employee 1311,8.0,2.0,7.0,7.0,4.0,2.0,3.0,4.0,0,45.0,Medium
Employee 1312,10.0,3.0,5.0,7.0,5.0,3.0,5.0,5.0,0,46.0,Medium
Employee 1313,12.0,6.0,9.0,6.0,8.0,4.0,7.0,2.0,1,76.0,High
Employee 1314,13.0,6.0,9.0,5.0,8.0,4.0,8.0,1.0,1,80.0,High
Employee 1315,12.0,5.0,9.0,6.0,8.0,4.0,8.0,2.0,1,75.0,High
Employee 1316,8.0,3.0,4.0,8.0,3.0,1.0,2.0,7.0,0,27.0,Low
Employee 1317,12.0,6.0,9.0,6.0,7.0,4.0,7.0,2.0,1,71.0,High
Employee 1318,8.0,2.0,2.0,9.0,1.0,1.0,2.0,8.0,0,14.0,Low
Employee 1319,12.0,6.0,8.0,6.0,6.0,4.0,7.0,3.0,1,58.0,Medium
Employee 1320,12.0,5.0,7.0,7.0,6.0,3.0,7.0,4.0,1,60.0,Medium
Employee 1321,10.0,3.0,6.0,7.0,6.0,3.0,5.0,4.0,1,56.0,Medium
Employee 1322,10.0,3.0,5.0,8.0,4.0,2.0,5.0,6.0,0,40.0,Medium
Employee 1323,8.0,2.0,6.0,7.0,3.0,2.0,3.0,6.0,0,32.0,Low
Employee 1324,9.0,3.0,6.0,7.0,4.0,2.0,4.0,5.0,0,41.0,Medium
Employee 1325,7.0,1.0,2.0,9.0,2.0,1.0,1.0,8.0,0,16.0,Low
Employee 1326,10.0,3.0,7.0,7.0,6.0,3.0,5.0,4.0,1,58.0,Medium
Employee 1327,10.0,3.0,5.0,8.0,4.0,2.0,5.0,6.0,0,36.0,Medium
Employee 1328,10.0,3.0,4.0,8.0,3.0,2.0,5.0,7.0,0,30.0,Low
Employee 1329,12.0,6.0,8.0,6.0,7.0,4.0,7.0,3.0,1,66.0,High
Employee 1330,11.0,3.0,7.0,6.0,5.0,3.0,6.0,4.0,1,52.0,Medium
Employee 1331,13.0,6.0,8.0,6.0,9.0,4.0,8.0,2.0,1,86.0,High
Employee 1332,10.0,3.0,4.0,8.0,4.0,2.0,5.0,6.0,0,36.0,Medium
Employee 1333,9.0,3.0,5.0,8.0,3.0,2.0,4.0,6.0,0,34.0,Medium
Employee 1334,10.0,5.0,6.0,7.0,4.0,3.0,5.0,5.0,0,44.0,Medium
Employee 1335,12.0,6.0,6.0,7.0,6.0,3.0,7.0,4.0,1,57.0,Medium
Employee 1336,9.0,3.0,6.0,7.0,3.0,2.0,4.0,6.0,0,34.0,Medium
Employee 1337,14.0,6.0,10.0,5.0,9.0,5.0,9.0,1.0,1,94.0,High
Employee 1338,9.0,2.0,4.0,8.0,3.0,2.0,4.0,6.0,0,32.0,Low
Employee 1339,7.0,1.0,2.0,9.0,1.0,1.0,2.0,8.0,0,13.0,Low
Employee 1340,12.0,6.0,7.0,7.0,6.0,3.0,7.0,4.0,1,59.0,Medium
Employee 1341,10.0,5.0,5.0,7.0,5.0,3.0,5.0,5.0,0,46.0,Medium
Employee 1342,10.0,3.0,6.0,7.0,5.0,3.0,5.0,5.0,0,48.0,Medium
Employee 1343,11.0,5.0,7.0,6.0,6.0,3.0,6.0,4.0,1,58.0,Medium
Employee 1344,8.0,2.0,5.0,7.0,4.0,2.0,3.0,6.0,0,35.0,Medium
Employee 1345,12.0,6.0,10.0,5.0,8.0,4.0,7.0,1.0,1,79.0,High
Employee 1346,7.0,1.0,3.0,8.0,2.0,1.0,1.0,7.0,0,18.0,Low
Employee 1347,9.0,3.0,5.0,7.0,4.0,2.0,4.0,5.0,0,43.0,Medium
Employee 1348,11.0,3.0,6.0,7.0,6.0,3.0,6.0,4.0,1,57.0,Medium
Employee 1349,14.0,7.0,9.0,5.0,8.0,5.0,9.0,1.0,1,80.0,High
Employee 1350,10.0,5.0,5.0,8.0,4.0,2.0,4.0,6.0,0,40.0,Medium
Employee 1351,12.0,5.0,8.0,6.0,7.0,4.0,8.0,2.0,1,70.0,High
Employee 1352,10.0,3.0,6.0,7.0,5.0,3.0,5.0,4.0,1,53.0,Medium
Employee 1353,10.0,5.0,4.0,8.0,4.0,2.0,5.0,6.0,0,37.0,Medium
Employee 1354,8.0,2.0,5.0,7.0,3.0,2.0,2.0,6.0,0,34.0,Medium
Employee 1355,9.0,3.0,5.0,8.0,4.0,2.0,4.0,6.0,0,36.0,Medium
Employee 1356,13.0,6.0,7.0,6.0,6.0,4.0,8.0,3.0,1,61.0,Medium
Employee 1357,11.0,3.0,8.0,6.0,7.0,4.0,7.0,2.0,1,74.0,High
Employee 1358,10.0,5.0,6.0,7.0,5.0,2.0,4.0,5.0,0,46.0,Medium
Employee 1359,11.0,6.0,7.0,7.0,6.0,3.0,6.0,3.0,1,65.0,Medium
Employee 1360,12.0,5.0,7.0,6.0,6.0,4.0,7.0,4.0,1,55.0,Medium
Employee 1361,7.0,1.0,4.0,8.0,2.0,1.0,1.0,7.0,0,24.0,Low
Employee 1362,13.0,6.0,8.0,6.0,6.0,4.0,8.0,3.0,1,64.0,Medium
Employee 1363,8.0,2.0,6.0,7.0,4.0,2.0,2.0,5.0,0,38.0,Medium
Employee 1364,11.0,6.0,7.0,6.0,6.0,3.0,6.0,3.0,1,65.0,Medium
Employee 1365,11.0,3.0,8.0,6.0,6.0,3.0,6.0,3.0,1,61.0,Medium
Employee 1366,13.0,5.0,10.0,5.0,9.0,5.0,9.0,1.0,1,93.0,High
Employee 1367,14.0,7.0,8.0,6.0,9.0,4.0,9.0,2.0,1,86.0,High
Employee 1368,8.0,2.0,3.0,8.0,3.0,1.0,2.0,7.0,0,26.0,Low
Employee 1369,8.0,2.0,6.0,7.0,4.0,2.0,2.0,5.0,0,41.0,Medium
Employee 1370,13.0,6.0,8.0,6.0,7.0,4.0,8.0,2.0,1,69.0,High
Employee 1371,11.0,5.0,6.0,7.0,6.0,3.0,6.0,4.0,1,57.0,Medium
Employee 1372,9.0,3.0,5.0,8.0,3.0,2.0,3.0,6.0,0,32.0,Low
Employee 1373,12.0,6.0,7.0,6.0,7.0,4.0,7.0,3.0,1,69.0,High
Employee 1374,11.0,3.0,9.0,6.0,7.0,4.0,7.0,2.0,1,70.0,High
Employee 1375,8.0,2.0,5.0,8.0,4.0,2.0,3.0,6.0,0,40.0,Medium
Employee 1376,7.0,1.0,1.0,10.0,0.0,0.0,1.0,10.0,0,0.0,Low
Employee 1377,10.0,5.0,6.0,7.0,5.0,2.0,4.0,5.0,0,49.0,Medium
Employee 1378,12.0,5.0,6.0,7.0,5.0,3.0,7.0,4.0,1,53.0,Medium
Employee 1379,12.0,6.0,9.0,6.0,7.0,4.0,7.0,2.0,1,70.0,High
Employee 1380,10.0,5.0,6.0,7.0,4.0,3.0,5.0,5.0,0,42.0,Medium
Employee 1381,9.0,3.0,6.0,7.0,4.0,3.0,4.0,5.0,0,39.0,Medium
Employee 1382,13.0,7.0,9.0,6.0,8.0,4.0,8.0,2.0,1,80.0,High
Employee 1383,8.0,2.0,4.0,8.0,2.0,1.0,2.0,7.0,0,25.0,Low
Employee 1384,9.0,3.0,6.0,7.0,4.0,2.0,4.0,5.0,0,35.0,Medium
Employee 1385,8.0,2.0,3.0,9.0,2.0,1.0,2.0,8.0,0,21.0,Low
Employee 1386,10.0,3.0,6.0,7.0,6.0,3.0,5.0,4.0,1,59.0,Medium
Employee 1387,10.0,3.0,5.0,7.0,5.0,3.0,5.0,5.0,1,50.0,Medium
Employee 1388,14.0,6.0,10.0,5.0,10.0,5.0,10.0,1.0,1,96.0,High
Employee 1389,11.0,5.0,7.0,6.0,5.0,3.0,6.0,4.0,1,50.0,Medium
Employee 1390,9.0,3.0,5.0,7.0,5.0,2.0,4.0,5.0,0,47.0,Medium
Employee 1391,9.0,3.0,6.0,7.0,4.0,2.0,4.0,5.0,0,39.0,Medium
Employee 1392,7.0,1.0,2.0,9.0,1.0,1.0,1.0,9.0,0,10.0,Low
Employee 1393,9.0,3.0,4.0,8.0,3.0,2.0,4.0,6.0,0,34.0,Medium
Employee 1394,11.0,5.0,7.0,6.0,5.0,3.0,6.0,4.0,1,51.0,Medium
Employee 1395,14.0,6.0,9.0,6.0,8.0,4.0,9.0,2.0,1,80.0,High
Employee 1396,10.0,5.0,8.0,6.0,7.0,3.0,5.0,3.0,1,67.0,High
Employee 1397,7.0,1.0,5.0,8.0,2.0,1.0,1.0,6.0,0,24.0,Low
Employee 1398,14.0,7.0,10.0,5.0,10.0,5.0,10.0,1.0,1,99.0,High
Employee 1399,12.0,5.0,8.0,6.0,7.0,4.0,7.0,2.0,1,67.0,High
Employee 1400,9.0,3.0,8.0,6.0,7.0,3.0,4.0,3.0,1,66.0,High
Employee 1401,12.0,5.0,8.0,6.0,6.0,4.0,7.0,3.0,1,60.0,Medium
Employee 1402,10.0,5.0,5.0,7.0,4.0,2.0,4.0,6.0,0,38.0,Medium
Employee 1403,10.0,5.0,4.0,8.0,3.0,2.0,5.0,7.0,0,29.0,Low
Employee 1404,8.0,3.0,3.0,9.0,2.0,1.0,2.0,8.0,0,19.0,Low
Employee 1405,8.0,2.0,3.0,8.0,2.0,1.0,2.0,7.0,0,24.0,Low
Employee 1406,10.0,2.0,7.0,6.0,6.0,3.0,5.0,4.0,1,55.0,Medium
Employee 1407,12.0,6.0,7.0,6.0,6.0,4.0,7.0,3.0,1,63.0,Medium
Employee 1408,9.0,3.0,7.0,7.0,4.0,2.0,3.0,4.0,0,45.0,Medium
Employee 1409,7.0,2.0,2.0,9.0,0.0,1.0,1.0,9.0,0,5.0,Low
Employee 1410,12.0,6.0,6.0,7.0,5.0,3.0,7.0,5.0,1,52.0,Medium
Employee 1411,10.0,3.0,6.0,7.0,4.0,3.0,5.0,5.0,0,43.0,Medium
Employee 1412,11.0,5.0,6.0,7.0,5.0,3.0,6.0,4.0,1,51.0,Medium
Employee 1413,9.0,3.0,6.0,7.0,5.0,2.0,3.0,5.0,0,47.0,Medium
Employee 1414,9.0,3.0,6.0,7.0,4.0,2.0,3.0,5.0,0,39.0,Medium
Employee 1415,11.0,3.0,6.0,7.0,6.0,3.0,6.0,4.0,1,60.0,Medium
Employee 1416,10.0,3.0,7.0,6.0,5.0,3.0,5.0,4.0,1,54.0,Medium
Employee 1417,14.0,6.0,8.0,6.0,8.0,4.0,9.0,2.0,1,79.0,High
Employee 1418,8.0,2.0,3.0,8.0,2.0,1.0,2.0,7.0,0,21.0,Low
Employee 1419,9.0,3.0,2.0,9.0,2.0,1.0,3.0,8.0,0,18.0,Low
Employee 1420,9.0,3.0,7.0,6.0,5.0,3.0,4.0,4.0,1,54.0,Medium
Employee 1421,12.0,5.0,8.0,6.0,6.0,4.0,7.0,3.0,1,55.0,Medium
Employee 1422,8.0,3.0,4.0,8.0,2.0,1.0,2.0,7.0,0,23.0,Low
Employee 1423,12.0,6.0,6.0,7.0,5.0,3.0,7.0,4.0,1,52.0,Medium
Employee 1424,10.0,3.0,7.0,7.0,6.0,3.0,5.0,3.0,1,62.0,Medium
Employee 1425,10.0,5.0,6.0,7.0,4.0,2.0,4.0,5.0,0,43.0,Medium
Employee 1426,7.0,2.0,1.0,9.0,0.0,1.0,1.0,9.0,0,2.0,Low
Employee 1427,9.0,3.0,5.0,7.0,3.0,2.0,3.0,6.0,0,29.0,Low
Employee 1428,9.0,3.0,7.0,7.0,5.0,3.0,4.0,4.0,0,48.0,Medium
